Event Key,Event,Age Group,Gender,Discipline,Round,Day,Order,Status,Scheduled,Venue,Wind,Participants,POC Name,POC Phone,Notes,Rank,Bib,Athlete,School / Club,Result,Record
100m-u14-boys-h1,100m,U-14,Boys,100m,Heat 1,1,10,Completed,,Main Track,+0.8 m/s,8,Coach Kumar,93630 69793,,1,112,Arjun Ramesh,"SVN School, Erode",12.8s,
100m-u14-boys-h1,,,,,,,,,,,,,,,,2,118,Karthik S,Kongu Vidyalaya,13.0s,
100m-u14-boys-h1,,,,,,,,,,,,,,,,3,124,Vishnu P,Stanes School,13.1s,
100m-u14-boys-h1,,,,,,,,,,,,,,,,4,131,Mohammed Ali,Suguna PIP,13.3s,
100m-u14-boys-h2,100m,U-14,Boys,100m,Heat 2,1,11,In Progress,,Main Track,,8,,,,,,,,,
100m-u14-boys-final,100m,U-14,Boys,100m,Final,1,30,Upcoming,2026-07-31 14:00,Main Track,,8,,,,,,,,,
200m-open-boys-final,200m,Open,Boys,200m,Final,1,50,Completed,,Main Track,-0.2 m/s,6,,,,1,301,Surya Prakash,Kongu Athletic Club,22.1s,MR
200m-open-boys-final,,,,,,,,,,,,,,,,2,305,Naveen Kumar,Genesis Sports Foundation,22.4s,
200m-open-boys-final,,,,,,,,,,,,,,,,3,309,Hari Krishnan,PSG College,22.6s,
lj-u16-girls-final,Long Jump,U-16,Girls,Long Jump,Final,1,40,Live,,Field Area B,+1.1 m/s,10,,,,1,212,Priya Dharshini,GHSS Peelamedu,5.42m,
lj-u16-girls-final,,,,,,,,,,,,,,,,2,208,Ananya R,Stanes School,5.31m,
